id,title,board,destination,fact,why,posted_at,pin_id
1,The first 72 hours after a parent dies: what cannot wait,What to do when a parent dies,/72,,,,
2,Order more death certificates than you think you need,Executor checklist and duties,/72,,,,
3,12 things not to do in the first month as executor,"Probate, explained plainly",/72,,,,
4,"What ""personally liable"" actually means for an executor","Death certificates, letters and paperwork",/blog,,,,
5,Do you need probate? Sort everything into three piles,The empty house,/72,,,,
6,"What Letters Testamentary are, and why banks won't talk to you without them",Estate taxes and the final return,/72,,,,
7,The four things to do the day you're appointed executor,Siblings and beneficiaries,/72,,,,
8,How to notify credit bureaus of a death (one letter is enough),Executor tools and printables,etsy,,,,
9,The Social Security payment that gets clawed back,What to do when a parent dies,/72,,,,
10,Keep the phone line on: it holds every security code,Executor checklist and duties,/72,,,,
11,The tax return is the map to every account,"Probate, explained plainly",/72,,,,
12,What to say when a sibling wants their share now,"Death certificates, letters and paperwork",/72,,,,
13,Five fair ways to divide a parent's belongings,The empty house,/72,,,,
14,"The monthly update email that ends ""what's taking so long""",Estate taxes and the final return,/blog,,,,
15,The empty house: the 30-day insurance problem,Siblings and beneficiaries,/72,,,,
16,Photograph every room before anyone visits,Executor tools and printables,/72,,,,
17,Are children responsible for a parent's debts? Usually not,What to do when a parent dies,/72,,,,
18,What to say to a debt collector calling about a parent's account,Executor checklist and duties,etsy,,,,
19,Four tax returns an executor should know about,"Probate, explained plainly",/72,,,,
20,"Form 1310, Form 56, Form 1041: what they are in plain English","Death certificates, letters and paperwork",/72,,,,
21,Small estate affidavit: the shortcut most families qualify for,The empty house,/72,,,,
22,How to open an estate bank account (EIN first),Estate taxes and the final return,/72,,,,
23,Date-of-death values and why the appraisal matters twice,Siblings and beneficiaries,/72,,,,
24,"Executor expense log: no receipt, no reimbursement",Executor tools and printables,/blog,,,,
25,Can an executor get paid? Fees vs. reimbursement,What to do when a parent dies,/72,,,,
26,"When you need a probate lawyer, and when you don't",Executor checklist and duties,/72,,,,
27,Eight questions for the first call with a probate attorney,"Probate, explained plainly",/72,,,,
28,"How probate lawyers charge: hourly, flat, or percentage","Death certificates, letters and paperwork",etsy,,,,
29,Getting into a parent's iPhone: Apple Legacy Contact,The empty house,/72,,,,
30,"What happens to a parent's Facebook, Gmail and photos",Estate taxes and the final return,/72,,,,
31,Mail after a death: what the post office actually requires,Siblings and beneficiaries,/72,,,,
32,The call log every executor should keep,Executor tools and printables,/72,,,,
33,"Who to notify after a death, and what each one wants",What to do when a parent dies,/72,,,,
34,Executor burnout hits around week six. Plan for it,Executor checklist and duties,/blog,,,,
35,Weekly 15-minute executor check-in,"Probate, explained plainly",/72,,,,
36,Executor vs. administrator vs. personal representative,"Death certificates, letters and paperwork",/72,,,,
37,My parent had a trust. Do I still need to do this?,The empty house,/72,,,,
38,Notice to creditors: what it is and why the date matters,Estate taxes and the final return,etsy,,,,
39,How to dispute a creditor's claim against an estate,Siblings and beneficiaries,/72,,,,
40,Unclaimed money after a death: three free places to look,Executor tools and printables,/72,,,,
41,Life insurance after a death: the claim letter that works,What to do when a parent dies,/72,,,,
42,The NAIC locator finds forgotten life insurance policies,Executor checklist and duties,/72,,,,
43,What to do with a parent's car before anyone drives it,"Probate, explained plainly",/72,,,,
44,Selling a deceased parent's house: appraise first,"Death certificates, letters and paperwork",/blog,,,,
45,"Firearms, medication and cash: secure and log them first",The empty house,/72,,,,
46,Settling a parent's estate from another state,Estate taxes and the final return,/72,,,,
47,Ask a neighbor to watch the house: the note to leave,Siblings and beneficiaries,/72,,,,
48,"The pension office call, scripted",Executor tools and printables,etsy,,,,
49,"The DMV call for a deceased parent's vehicle, scripted",What to do when a parent dies,/72,,,,
50,What to say to the hospital billing office,Executor checklist and duties,/72,,,,
51,Medicaid estate recovery: don't ignore the letter,"Probate, explained plainly",/72,,,,
52,Veteran parent? Tell the funeral home first,"Death certificates, letters and paperwork",/72,,,,
53,Prepaid funeral plans are common and often forgotten,The empty house,/72,,,,
54,Executor deadline calendar for the first 90 days,Estate taxes and the final return,/blog,,,,
55,"The ""tape it to the fridge"" list for new executors",Siblings and beneficiaries,/72,,,,
56,What a probate clerk will and won't tell you (call them),Executor tools and printables,/72,,,,
57,Inventory of assets: what to list and where to find values,What to do when a parent dies,/72,,,,
58,Inventory of debts: secured vs. unsecured and why it matters,Executor checklist and duties,etsy,,,,
59,A monthly update template for beneficiaries,"Probate, explained plainly",/72,,,,
60,The First 90 Days: an executor's working notebook,"Death certificates, letters and paperwork",/72,,,,
